year,rank,name,peak,previous,streak,movement,halftime
2022,1,Drake,1,1,1,0,0
2022,2,Taylor Swift,1,1,1,1,0
2022,3,Juice WRLD,1,1,1,2,0
2022,4,Kanye West,3,3,3,1,0
2022,5,The Weeknd,1,1,1,4,0
2022,6,Bad Bunny,6,6,6,0,0
2022,7,Lin-Manuel Miranda,5,5,5,2,0
2022,8,Eminem,8,8,8,0,1
2022,9,Lil Baby,8,8,8,1,0
2022,10,Future,10,10,10,0,0
2022,11,Doja Cat,6,6,6,5,0
2022,12,YoungBoy Never Broke Again,7,7,7,5,0
2022,13,Kendrick Lamar,13,13,13,0,1
2022,14,Polo G,3,3,3,11,0
2022,15,Gunna,4,4,4,11,0
2022,16,J. Cole,12,12,12,4,0
2022,17,Morgan Wallen,9,9,9,8,0
2022,18,"Tyler, The Creator",14,14,14,4,0
2022,19,Lil Uzi Vert,12,12,12,7,0
2022,20,21 Savage,16,16,16,4,0
2022,21,Justin Bieber,7,7,7,14,0
2022,22,XXXTENTACION,15,15,15,7,0
2022,23,Billie Eilish,14,14,14,9,0
2022,24,Mac Miller,7,7,7,17,0
2022,25,Post Malone,11,11,11,14,0
2022,26,Travis Scott,7,7,7,19,0
2022,27,Ariana Grande,7,7,7,20,0
2022,28,$uicideboy$,17,17,17,11,0
2022,29,Ed Sheeran,5,5,5,24,0
2022,30,Trippie Redd,17,17,17,13,0
2022,31,Playboi Carti,17,17,17,14,0
2022,32,Lil Durk,18,18,18,14,0
2022,33,Bruno Mars,5,5,5,28,0
2022,34,BTS,19,19,19,15,0
2022,35,Kodak Black,33,33,33,2,0
2022,36,Nicki Minaj,35,35,35,1,0
2022,37,Lil Wayne,34,34,34,3,0
2022,38,Olivia Rodrigo,24,24,24,14,0
2022,39,SZA,16,16,16,23,0
2022,40,Frank Ocean,40,40,40,0,0
2022,41,Stephanie Beatriz,33,33,33,8,0
2022,42,Young Thug,5,5,5,37,0
2022,43,Rihanna,43,43,43,0,0
2022,44,Dr. Dre,44,44,44,0,1
2022,45,Kid Cudi,45,45,45,0,0
2022,46,Khalid,33,33,33,13,0
2022,47,Adele,2,2,2,45,0
2022,48,Pop Smoke,41,41,41,7,0
2022,49,J Balvin,42,42,42,7,0
2022,50,A Boogie Wit da Hoodie,37,37,37,13,0
2022,51,DaBaby,35,35,35,16,0
2022,52,The Neighbourhood,44,44,44,8,0
2022,53,Dua Lipa,46,46,46,7,0
2022,54,Imagine Dragons,50,50,50,4,0
2022,55,Lil Peep,48,48,48,7,0
2022,56,The Kid LAROI,34,34,34,22,0
2022,57,Rod Wave,44,44,44,13,0
2022,58,Jack Harlow,38,38,38,20,0
2022,59,Lil Nas X,19,19,19,40,0
2022,60,mgk,49,49,49,11,0
2022,61,Luke Combs,40,40,40,21,0
2022,62,Megan Thee Stallion,31,31,31,31,0
2022,63,The Beatles,35,35,35,28,0
2022,64,Yeat,64,64,64,0,0
2022,65,A$AP Rocky,36,36,36,29,0
2022,66,Mitski,32,32,32,34,0
2022,67,Chris Brown,54,54,54,13,0
2022,68,Labrinth,62,62,62,6,0
2022,69,$NOT,69,69,69,0,0
2022,70,KAROL G,70,70,70,0,0
2022,71,Halsey,53,53,53,18,0
2022,72,Rauw Alejandro,62,62,62,10,0
2022,73,Baby Keem,53,53,53,20,0
2022,74,Lana Del Rey,36,36,36,38,0
2022,75,Coldplay,33,33,33,42,0
2022,76,Metro Boomin,72,72,72,4,0
2022,77,NF,62,62,62,15,0
2022,78,Lil Tjay,50,50,50,28,0
2022,79,Encanto - Cast,60,60,60,19,0
