Date,Season,Artist,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Winner,Loser
1/30/2000,1999,Phil Collins,Christina Aguilera,Enrique Iglesias,Toni Braxton,,,,LA,TEN
1/28/2001,2000,Aerosmith,N'Sync,Britney Spears,Mary J. Blige,Nelly,Justin Timberlake,,BLT,NYG
2/3/2002,2001,U2,,,,,,,NE,LA
1/26/2003,2002,Shania Twain,No Doubt,Sting,,,,,TB,LV
2/1/2004,2003,Janet Jackson,Kid Rock,P.Diddy,Nelly,Justin Timberlake,,,NE,CAR
2/6/2005,2004,Paul McCartney,,,,,,,NE,PHI
2/5/2006,2005,The Rolling Stones,,,,,,,PIT,SEA
2/4/2007,2006,Prince,,,,,,,IND,CHI
2/3/2008,2007,Tom Petty and The Heartbreakers,,,,,,,NYG,NE
2/1/2009,2008,Bruce Springsteen and the E Street Band,,,,,,,PIT,ARZ
2/7/2010,2009,The Who,,,,,,,NO,IND
2/6/2011,2010,The Black Eyed Peas,Usher,Slash,will.i.am,,,,GB,PIT
2/5/2012,2011,Madonna,,,,,,,NYG,NE
2/3/2013,2012,Beyonce,,,,,,,BLT,SF
2/2/2014,2013,Bruno Mars,Red Hot Chili Peppers,,,,,,SEA,DEN
2/1/2015,2014,Katy Perry,Lenny Kravitz,Missy Elliot,,,,,NE,SEA
2/7/2016,2015,Coldplay,Beyonce,Bruno Mars,,,,,DEN,CAR
2/5/2017,2016,Lady Gaga,,,,,,,NE,ATL
2/4/2018,2017,Justin Timberlake,The Tennessee Kids,,,,,,PHI,NE
2/3/2019,2018,Maroon 5,Travis Scott,Big Boi,,,,,NE,LA
2/2/2020,2019,Shakira,Jennifer Lopez,Bad Bunny,J Balvin,Emme Muniz,,,KC,SF
2/7/2021,2020,The Weeknd,,,,,,,TB,KC
2/13/2022,2021,Eminmen,Dr. Dre,Snoop Dogg,Kendrick Lamar,Mary J. Blige,,,LA,CIN
2/12/2023,2022,Rihanna,,,,,,,KC,PHI
2/11/2024,2023,Usher,Alicia Keys,Jermaine Duprii,H.E.R.,will.i.am,Lil Jon,Ludacris,KC,SF
