year,rank,song,name,peak,previous,streak,streams,movement,halftime
2017,1,Shape of You,Ed Sheeran,1,1,1,10456635,0,0
2017,2,Bad and Boujee,Migos,1,1,1,10243411,1,0
2017,2,Bad and Boujee,Lil Uzi Vert,1,1,1,10243411,1,0
2017,3,Bounce Back,Big Sean,3,3,3,8704702,0,0
2017,4,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,4,4,4,7677509,0,0
2017,5,Paris,The Chainsmokers,4,4,4,6923350,1,0
2017,6,Fake Love,Drake,1,1,1,6758416,5,0
2017,7,iSpy,KYLE,7,7,7,6002025,0,0
2017,7,iSpy,Lil Yachty,7,7,7,6002025,0,0
2017,8,No Favors,Big Sean,8,8,8,5932968,0,0
2017,9,T-Shirt,Migos,6,6,6,5919933,3,0
2017,10,Moves,Big Sean,10,10,10,5491621,0,0
2017,11,Starboy,The Weeknd,3,3,3,5353347,8,0
2017,12,Caroline,Aminé,6,6,6,4797882,6,0
2017,13,I Feel It Coming,The Weeknd,10,10,10,4778112,3,0
2017,14,Bad Things,mgk,7,7,7,4767506,7,0
2017,14,Bad Things,Camila Cabello,7,7,7,4767506,7,0
2017,15,Closer,The Chainsmokers,4,4,4,4619391,11,0
2017,16,Say You Won't Let Go,James Arthur,15,15,15,4432962,1,0
2017,17,Issues,Julia Michaels,17,17,17,4300861,0,0
2017,18,Black Beatles,Rae Sremmurd,4,4,4,4204072,14,0
2017,19,X,21 Savage,17,17,17,3854719,2,0
2017,19,X,Future,17,17,17,3854719,2,0
2017,20,Scared to Be Lonely,Martin Garrix,20,20,20,3832447,0,0
2017,21,All Time Low,Jon Bellion,18,18,18,3769398,3,0
2017,22,Congratulations,Post Malone,22,22,22,3744680,0,0
2017,23,Castle on the Hill,Ed Sheeran,4,4,4,3728837,19,0
2017,24,Broccoli,DRAM,10,10,10,3668298,14,0
2017,25,Halfway Off The Balcony,Big Sean,25,25,25,3604941,0,0
2017,26,Call on Me - Ryan Riback Remix,Starley,24,24,24,3485164,2,0
2017,27,Sacrifices,Big Sean,27,27,27,3458572,0,0
2017,28,Jump Out The Window,Big Sean,28,28,28,3434228,0,0
2017,29,Don't Wanna Know,Maroon 5,14,14,14,3403751,15,0
2017,29,Don't Wanna Know,Kendrick Lamar,14,14,14,3403751,15,0
2017,30,How Far I'll Go - Alessia Cara Version,Alessia Cara,20,20,20,3308159,10,0
2017,31,Swang,Rae Sremmurd,31,31,31,3286089,0,0
2017,32,Rockabye,Clean Bandit,32,32,32,3244969,0,0
2017,32,Rockabye,Sean Paul,32,32,32,3244969,0,0
2017,32,Rockabye,Anne-Marie,32,32,32,3244969,0,0
2017,33,Weak,AJR,30,30,30,3233162,3,0
2017,34,No Heart,21 Savage,19,19,19,3169384,15,0
2017,35,Run Up,Major Lazer,26,26,26,3088080,9,0
2017,36,goosebumps,Travis Scott,36,36,36,3029824,0,0
2017,37,Kelly Price,Migos,21,21,21,3020644,16,0
2017,37,Kelly Price,Travis Scott,21,21,21,3020644,16,0
2017,38,Deja Vu,J. Cole,9,9,9,3008538,29,0
2017,39,Body Like A Back Road,Sam Hunt,39,39,39,2983102,0,0
2017,40,24K Magic,Bruno Mars,13,13,13,2966750,27,0
2017,41,Both,Gucci Mane,41,41,41,2932972,0,0
2017,41,Both,Drake,41,41,41,2932972,0,0
2017,42,Owe Me,Big Sean,42,42,42,2904029,0,0
2017,43,Sneakin’,Drake,24,24,24,2896925,19,0
2017,44,Party Monster,The Weeknd,16,16,16,2884318,28,0
2017,45,One Dance,Drake,13,13,13,2871909,32,0
2017,46,Redbone,Childish Gambino,29,29,29,2843405,17,0
2017,47,Slippery,Migos,30,30,30,2802044,17,0
2017,47,Slippery,Gucci Mane,30,30,30,2802044,17,0
2017,48,Some Kind Of Drug,G-Eazy,39,39,39,2780590,9,0
2017,48,Some Kind Of Drug,Marc E. Bassy,39,39,39,2780590,9,0
2017,49,Chill Bill,Rob $tone,15,15,15,2728410,34,0
2017,49,Chill Bill,J. Davi$,15,15,15,2728410,34,0
2017,49,Chill Bill,Spooks,15,15,15,2728410,34,0
2017,50,Voices In My Head/Stick To The Plan,Big Sean,50,50,50,2630289,0,0
2017,51,Just Hold On,Steve Aoki,36,36,36,2603388,15,0
2017,52,Despacito,Luis Fonsi,52,52,52,2588598,0,0
2017,53,Light,Big Sean,53,53,53,2553309,0,0
2017,54,Love Me Now,John Legend,36,36,36,2522044,18,0
2017,55,Side To Side,Ariana Grande,23,23,23,2499403,32,0
2017,56,Starving,Hailee Steinfeld,18,18,18,2431262,38,0
2017,57,No Problem,Chance the Rapper,31,31,31,2387361,26,0
2017,57,No Problem,Lil Wayne,31,31,31,2387361,26,0
2017,57,No Problem,2 Chainz,31,31,31,2387361,26,0
2017,58,All Night,The Vamps,49,49,49,2380429,9,0
2017,59,In the Name of Love,Martin Garrix,20,20,20,2377307,39,0
2017,60,Don't Leave,Snakehips,59,59,59,2372955,1,0
2017,61,You Was Right,Lil Uzi Vert,28,28,28,2333274,33,0
2017,62,Call Casting,Migos,29,29,29,2278490,33,0
2017,63,Chantaje,Shakira,52,52,52,2267954,11,0
2017,63,Chantaje,Maluma,52,52,52,2267954,11,0
2017,64,Bigger Than Me,Big Sean,64,64,64,2246255,0,0
2017,65,Make Me (Cry),Noah Cyrus,55,55,55,2245375,10,0
2017,66,Selfish,PnB Rock,47,47,47,2233266,19,0
2017,67,Heathens,Twenty One Pilots,26,26,26,2231247,41,0
2017,68,pick up the phone,Young Thug,44,44,44,2218722,24,0
2017,69,Location,Khalid,69,69,69,2211661,0,0
2017,70,Get Right Witcha,Migos,33,33,33,2187263,37,0
2017,71,Let Me Love You,DJ Snake,12,12,12,2179700,59,0
2017,72,Love On The Brain,Rihanna,53,53,53,2170218,19,0
2017,73,Used to This,Future,55,55,55,2103685,18,0
2017,73,Used to This,Drake,55,55,55,2103685,18,0
2017,74,Same Time Pt. 1,Big Sean,74,74,74,2097362,0,0
2017,75,History,Olivia Holt,75,75,75,2087704,0,0
2017,76,Water,Ugly God,58,58,58,2057735,18,0
2017,77,Too Many Years,Kodak Black,64,64,64,2007319,13,0
2017,78,Six Feet Under,The Weeknd,34,34,34,2002266,44,0
2017,79,Now and Later,Sage The Gemini,48,48,48,1999733,31,0
2017,80,Sunset Lover,Petit Biscuit,63,63,63,1998739,17,0
2017,81,Solo Dance,Martin Jensen,76,76,76,1993143,5,0
2017,82,Million Reasons,Lady Gaga,82,82,82,1982144,0,1
2017,83,That's What I Like,Bruno Mars,83,83,83,1979877,0,0
2017,84,Sunday Morning Jetpack,Big Sean,84,84,84,1976237,0,0
2017,85,Mercy,Shawn Mendes,30,30,30,1945728,55,0
2017,86,White Iverson,Post Malone,81,81,81,1934602,5,0
2017,87,Low Life,Future,59,59,59,1926601,28,0
2017,87,Low Life,The Weeknd,59,59,59,1926601,28,0
2017,88,Controlla,Drake,41,41,41,1907634,47,0
2017,89,Light,San Holo,72,72,72,1892080,17,0
2017,90,Erase Your Social,Lil Uzi Vert,76,76,76,1889913,14,0
2017,91,Needed Me,Rihanna,45,45,45,1864911,46,0
2017,92,Too Good,Drake,38,38,38,1863328,54,0
2017,93,No Role Modelz,J. Cole,65,65,65,1851661,28,0
2017,94,I Got You,Bebe Rexha,79,79,79,1850234,15,0
2017,95,Sidewalks,The Weeknd,43,43,43,1840815,52,0
2017,96,Gassed Up,Nebu Kiniza,77,77,77,1834764,19,0
2017,97,Believer,Imagine Dragons,97,97,97,1831744,0,0
2017,98,Wyclef Jean,Young Thug,98,98,98,1818349,0,0
