year,rank,song,name,peak,previous,streak,streams,movement
2017,1, Shape of You,Ed Sheeran,1,1,1,10456635,0
2017,2, Bad and Boujee (feat. Lil Uzi Vert),Migos,1,1,1,10243411,1
2017,3, Bounce Back,Big Sean,3,3,3,8704702,0
2017,4, I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,4,4,4,7677509,0
2017,5, Paris,The Chainsmokers,4,4,4,6923350,1
2017,6, Fake Love,Drake,1,1,1,6758416,5
2017,7, iSpy (feat. Lil Yachty),KYLE,7,7,7,6002025,0
2017,8, No Favors,Big Sean,8,8,8,5932968,0
2017,9, T-Shirt,Migos,6,6,6,5919933,3
2017,10, Moves,Big Sean,10,10,10,5491621,0
2017,11, Starboy,The Weeknd,3,3,3,5353347,8
2017,12, Caroline,Aminé,6,6,6,4797882,6
2017,13, I Feel It Coming,The Weeknd,10,10,10,4778112,3
2017,14, Bad Things (with Camila Cabello),mgk,7,7,7,4767506,7
2017,15, Closer,The Chainsmokers,4,4,4,4619391,11
2017,16, Say You Won't Let Go,James Arthur,15,15,15,4432962,1
2017,17, Issues,Julia Michaels,17,17,17,4300861,0
2017,18, Black Beatles,Rae Sremmurd,4,4,4,4204072,14
2017,19, X (feat. Future),21 Savage,17,17,17,3854719,2
2017,20, Scared to Be Lonely,Martin Garrix,20,20,20,3832447,0
2017,21, All Time Low,Jon Bellion,18,18,18,3769398,3
2017,22, Congratulations,Post Malone,22,22,22,3744680,0
2017,23, Castle on the Hill,Ed Sheeran,4,4,4,3728837,19
2017,24, Broccoli,DRAM,10,10,10,3668298,14
2017,25, Halfway Off The Balcony,Big Sean,25,25,25,3604941,0
2017,26, Call on Me - Ryan Riback Remix,Starley,24,24,24,3485164,2
2017,27, Sacrifices,Big Sean,27,27,27,3458572,0
2017,28, Jump Out The Window,Big Sean,28,28,28,3434228,0
2017,29, Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,14,14,14,3403751,15
2017,30, How Far I'll Go - Alessia Cara Version,Alessia Cara,20,20,20,3308159,10
2017,31, Swang,Rae Sremmurd,31,31,31,3286089,0
