date,rank,lw,artist,label,total,change,album_sales,tea,sea,movement,post,halftime,album,total_change
1/27/2015,0,0,FALL OUT BOY,DCD2/ISLAND,0.0,0.0,0,0,0,0,1,0,,-227348.0
1/27/2015,0,0,TAYLOR SWIFT,BIG MACHINE,0.0,0.0,0,0,0,0,1,0,,-116891.0
1/27/2015,0,0,MEGHAN TRAINOR,EPIC,0.0,0.0,0,0,0,0,1,0,,-85619.0
1/27/2015,0,0,JOEY BADA$$,CINEMATIC,0.0,0.0,0,0,0,0,1,0,,-54956.0
1/27/2015,0,0,NICKI MINAJ,YMCMB/REPUBLIC,0.0,0.0,0,0,0,0,1,0,,-51241.0
1/27/2015,0,0,MARK RONSON,RCA,0.0,0.0,0,0,0,0,1,0,,-49894.0
1/27/2015,0,0,ED SHEERAN,ATLANTIC,0.0,0.0,0,0,0,0,1,0,,-46891.0
1/27/2015,0,0,MARILYN MANSON,LOMA VISTA/CONCORD,0.0,0.0,0,0,0,0,1,0,,-46805.0
1/27/2015,0,0,2015 GRAMMY NOMINEES,RCA,0.0,0.0,0,0,0,0,1,0,,-46365.0
1/27/2015,0,0,SAM SMITH,CAPITOL,0.0,0.0,0,0,0,0,1,0,,-45718.0
1/27/2015,0,0,DECEMBERISTS,CAPITOL,0.0,0.0,0,0,0,0,1,0,,-44800.0
1/27/2015,0,0,KIDZ BOP KIDS,RAZOR &amp; TIE,0.0,0.0,0,0,0,0,1,0,,-43673.0
1/27/2015,0,0,MAROON 5,222/INTERSCOPE,0.0,0.0,0,0,0,0,1,0,,-43600.0
1/27/2015,0,0,HOZIER,COLUMBIA,0.0,0.0,0,0,0,0,1,0,,-37555.0
1/27/2015,0,0,LUPE FIASCO,ATLANTIC,0.0,0.0,0,0,0,0,1,0,,-36000.0
1/27/2015,0,0,J. COLE,ROC NATION/COLUMBIA,0.0,0.0,0,0,0,0,1,0,,-32058.0
1/27/2015,0,0,SAM HUNT,MCA NASHVILLE,0.0,0.0,0,0,0,0,1,0,,-24306.0
1/27/2015,0,0,ONE DIRECTION,SYCO/COLUMBIA,0.0,0.0,0,0,0,0,1,0,,-24293.0
1/27/2015,0,0,"GUARDIANS OF THE GALAXY: AWESOME MIX, VOL. 1",HOLLYWOOD,0.0,0.0,0,0,0,0,1,0,,-23163.0
1/27/2015,0,0,BJORK,ONE LITTLE INDIAN,0.0,0.0,0,0,0,0,1,0,,-23000.0
1/27/2015,0,0,SLEATER-KINNEY,SUB POP,0.0,0.0,0,0,0,0,1,0,,-21575.0
1/27/2015,0,0,SIA,MONKEY PUZZLE/RCA,0.0,0.0,0,0,0,0,1,0,,-20756.0
1/27/2015,0,0,ARIANA GRANDE,REPUBLIC,0.0,0.0,0,0,0,0,1,0,,-17805.0
1/27/2015,0,0,ELLA HENDERSON,COLUMBIA,0.0,0.0,0,0,0,0,1,0,,-17522.0
1/27/2015,0,0,RAE SREMMURD,INTERSCOPE,0.0,0.0,0,0,0,0,1,0,,-16197.0
1/27/2015,0,0,ONEREPUBLIC,INTERSCOPE,0.0,0.0,0,0,0,0,1,0,,-15867.0
1/27/2015,0,0,PITBULL,POLO GROUNDS/RCA,0.0,0.0,0,0,0,0,1,0,,-15077.0
1/27/2015,0,0,JASON ALDEAN,BROKEN BOW,0.0,0.0,0,0,0,0,1,0,,-14810.0
1/27/2015,0,0,FLORIDA GEORGIA LINE,REPUBLIC NASHVILLE,0.0,0.0,0,0,0,0,1,0,,-14668.0
1/27/2015,0,0,VERTICAL CHURCH BAND,ESSENTIAL,0.0,0.0,0,0,0,0,1,0,,-14661.0
1/27/2015,0,0,FROZEN,WALT DISNEY,0.0,0.0,0,0,0,0,1,0,,-14048.0
1/27/2015,0,0,ABOVE &amp; BEYOND,ULTRA,0.0,0.0,0,0,0,0,1,0,,-14035.0
1/27/2015,0,0,BEYONCE,COLUMBIA,0.0,0.0,0,0,0,0,1,0,,-13968.0
1/27/2015,0,0,CARRIE UNDERWOOD,19/ARISTA,0.0,0.0,0,0,0,0,1,0,,-13533.0
1/27/2015,0,0,NICK JONAS,ISLAND,0.0,0.0,0,0,0,0,1,0,,-13203.0
1/27/2015,0,0,ANNIE,RCA,0.0,0.0,0,0,0,0,1,0,,-13015.0
1/27/2015,0,0,K. MICHELLE,ATLANTIC,0.0,0.0,0,0,0,0,1,0,,-12720.0
1/27/2015,0,0,LUKE BRYAN,CAPITOL NASHVILLE,0.0,0.0,0,0,0,0,1,0,,-12532.0
1/27/2015,0,0,INTO THE WOODS,WALT DISNEY,0.0,0.0,0,0,0,0,1,0,,-11848.0
1/27/2015,0,0,BLAKE SHELTON,WARNER BROS. NASHVILLE,0.0,0.0,0,0,0,0,1,0,,-11104.0
1/27/2015,0,0,VANCE JOY,ATLANTIC,0.0,0.0,0,0,0,0,1,0,,-11082.0
1/27/2015,0,0,CALVIN HARRIS,COLUMBIA,0.0,0.0,0,0,0,0,1,0,,-10850.0
1/27/2015,0,0,D'ANGELO AND THE VANGUARD,RCA,0.0,0.0,0,0,0,0,1,0,,-10320.0
1/27/2015,0,0,JAZMINE SULLIVAN,RCA,0.0,0.0,0,0,0,0,1,0,,-10277.0
1/27/2015,0,0,ARCTIC MONKEYS,DOMINO,0.0,0.0,0,0,0,0,1,0,,-10044.0
1/27/2015,0,0,BELLE &amp; SEBASTIAN,MATADOR,0.0,0.0,0,0,0,0,1,0,,-9676.0
1/27/2015,0,0,SELENA GOMEZ,HOLLYWOOD,0.0,0.0,0,0,0,0,1,0,,-9557.0
1/27/2015,0,0,RYAN BINGHAM,AXSTER BINGHAM,0.0,0.0,0,0,0,0,1,0,,-9550.0
1/27/2015,0,0,NOW 52,NOW,0.0,0.0,0,0,0,0,1,0,,-9503.0
1/27/2015,1,1,FALL OUT BOY,DCD2/ISLAND,227348.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,2,2,TAYLOR SWIFT,BIG MACHINE,116891.0,-0.12,0,0,0,0,0,0,,0.0
1/27/2015,3,1,MEGHAN TRAINOR,EPIC,85619.0,-0.64,0,0,0,-2,0,0,,0.0
1/27/2015,4,4,JOEY BADA$$,CINEMATIC,54956.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,5,6,NICKI MINAJ,YMCMB/REPUBLIC,51241.0,-0.09,0,0,0,1,0,0,,0.0
1/27/2015,6,3,MARK RONSON,RCA,49894.0,-0.33,0,0,0,-3,0,0,,0.0
1/27/2015,7,4,ED SHEERAN,ATLANTIC,46891.0,-0.36,0,0,0,-3,0,0,,0.0
1/27/2015,8,8,MARILYN MANSON,LOMA VISTA/CONCORD,46805.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,9,9,2015 GRAMMY NOMINEES,RCA,46365.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,10,7,SAM SMITH,CAPITOL,45718.0,-0.1,0,0,0,-3,0,0,,0.0
1/27/2015,11,11,DECEMBERISTS,CAPITOL,44800.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,12,5,KIDZ BOP KIDS,RAZOR &amp; TIE,43673.0,0.0,0,0,0,-7,0,0,,0.0
1/27/2015,13,8,MAROON 5,222/INTERSCOPE,43600.0,-0.12,0,0,0,-5,0,0,,0.0
1/27/2015,14,9,HOZIER,COLUMBIA,37555.0,-0.06,0,0,0,-5,0,0,,0.0
1/27/2015,15,15,LUPE FIASCO,ATLANTIC,36000.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,16,10,J. COLE,ROC NATION/COLUMBIA,32058.0,-0.12,0,0,0,-6,0,0,,0.0
1/27/2015,17,15,SAM HUNT,MCA NASHVILLE,24306.0,0.0,0,0,0,-2,0,0,,0.0
1/27/2015,18,14,ONE DIRECTION,SYCO/COLUMBIA,24293.0,-0.01,0,0,0,-4,0,0,,0.0
1/27/2015,19,13,"GUARDIANS OF THE GALAXY: AWESOME MIX, VOL. 1",HOLLYWOOD,23163.0,-0.09,0,0,0,-6,0,0,,0.0
1/27/2015,20,20,BJORK,ONE LITTLE INDIAN,23000.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,21,21,SLEATER-KINNEY,SUB POP,21575.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,22,18,SIA,MONKEY PUZZLE/RCA,20756.0,0.12,0,0,0,-4,0,0,,0.0
1/27/2015,23,17,ARIANA GRANDE,REPUBLIC,17805.0,-0.13,0,0,0,-6,0,0,,0.0
1/27/2015,24,11,ELLA HENDERSON,COLUMBIA,17522.0,-0.48,0,0,0,-13,0,0,,0.0
1/27/2015,25,19,RAE SREMMURD,INTERSCOPE,16197.0,-0.08,0,0,0,-6,0,0,,0.0
1/27/2015,26,26,ONEREPUBLIC,INTERSCOPE,15867.0,-0.01,0,0,0,0,0,0,,0.0
1/27/2015,27,27,PITBULL,POLO GROUNDS/RCA,15077.0,-0.01,0,0,0,0,0,0,,0.0
1/27/2015,28,23,JASON ALDEAN,BROKEN BOW,14810.0,-0.07,0,0,0,-5,0,0,,0.0
1/27/2015,29,16,FLORIDA GEORGIA LINE,REPUBLIC NASHVILLE,14668.0,-0.29,0,0,0,-13,0,0,,0.0
1/27/2015,30,30,VERTICAL CHURCH BAND,ESSENTIAL,14661.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,31,20,FROZEN,WALT DISNEY,14048.0,-0.14,0,0,0,-11,0,0,,0.0
1/27/2015,32,32,ABOVE &amp; BEYOND,ULTRA,14035.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,33,31,BEYONCE,COLUMBIA,13968.0,0.2,0,0,0,-2,0,0,,0.0
1/27/2015,34,29,CARRIE UNDERWOOD,19/ARISTA,13533.0,-0.08,0,0,0,-5,0,0,,0.0
1/27/2015,35,28,NICK JONAS,ISLAND,13203.0,-0.11,0,0,0,-7,0,0,,0.0
1/27/2015,36,22,ANNIE,RCA,13015.0,-0.19,0,0,0,-14,0,0,,0.0
1/27/2015,37,47,K. MICHELLE,ATLANTIC,12720.0,0.72,0,0,0,10,0,0,,0.0
1/27/2015,38,24,LUKE BRYAN,CAPITOL NASHVILLE,12532.0,-0.2,0,0,0,-14,0,0,,0.0
1/27/2015,39,25,INTO THE WOODS,WALT DISNEY,11848.0,-0.24,0,0,0,-14,0,0,,0.0
1/27/2015,40,40,BLAKE SHELTON,WARNER BROS. NASHVILLE,11104.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,41,41,VANCE JOY,ATLANTIC,11082.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,42,39,CALVIN HARRIS,COLUMBIA,10850.0,0.14,0,0,0,-3,0,0,,0.0
1/27/2015,43,38,D'ANGELO AND THE VANGUARD,RCA,10320.0,-0.01,0,0,0,-5,0,0,,0.0
1/27/2015,44,12,JAZMINE SULLIVAN,RCA,10277.0,-0.68,0,0,0,-32,0,0,,0.0
1/27/2015,45,35,ARCTIC MONKEYS,DOMINO,10044.0,-0.1,0,0,0,-10,0,0,,0.0
1/27/2015,46,46,ED SHEERAN,ATLANTIC,9915.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,47,47,BELLE &amp; SEBASTIAN,MATADOR,9676.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,48,36,SELENA GOMEZ,HOLLYWOOD,9557.0,-0.14,0,0,0,-12,0,0,,0.0
1/27/2015,49,49,RYAN BINGHAM,AXSTER BINGHAM,9550.0,0.0,0,0,0,0,0,0,,0.0
1/27/2015,50,34,NOW 52,NOW,9503.0,-0.16,0,0,0,-16,0,0,,0.0
1/31/2020,0,0,RODDY RICCH,BIRD VISION/ATLANTIC,0.0,0.0,0,0,0,0,1,0,PLEASE EXCUSE ME FOR BEING ANTI-SOCIAL,-93205.0
1/31/2020,0,0,EMINEM,SHADY/AFTERMATH/INTERSCOPE,0.0,0.0,0,0,0,0,1,0,MUSIC TO BE MURDERED BY,-86497.0
1/31/2020,0,0,BILLIE EILISH,DARKROOM/INTERSCOPE,0.0,0.0,0,0,0,0,1,0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",-56513.0
1/31/2020,0,0,HALSEY,CAPITOL,0.0,0.0,0,0,0,0,1,0,MANIC,-51115.0
1/31/2020,0,0,POST MALONE,REPUBLIC,0.0,0.0,0,0,0,0,1,0,HOLLYWOOD'S BLEEDING,-49701.0
1/31/2020,0,0,MAC MILLER,WARNER,0.0,0.0,0,0,0,0,1,0,CIRCLES,-46342.0
1/31/2020,0,0,DABABY,INTERSCOPE,0.0,0.0,0,0,0,0,1,0,KIRK,-33291.0
1/31/2020,0,0,HARRY STYLES,COLUMBIA,0.0,0.0,0,0,0,0,1,0,FINE LINE,-30918.0
1/31/2020,0,0,MONEYBAGG YO,N-LESS/INTERSCOPE,0.0,0.0,0,0,0,0,1,0,TIME SERVED,-28533.0
1/31/2020,0,0,TRAVIS SCOTT,CACTUS JACK/EPIC,0.0,0.0,0,0,0,0,1,0,JACKBOYS,-28192.0
