year,rank,title,artist,previous,peak,weeks,halftime
2016,1,YUMMY,JAMES,101,1,1,0
2016,2,ONE DEEP RIVER,MARK KNOPFLER,101,2,1,0
2016,3,HALO EFFECT,KRIS BARRAS BAND,101,3,1,0
2016,4,THIS COULD BE TEXAS,ENGLISH TEACHER,101,4,1,0
2016,5,HOMBRES,GUN,101,5,1,0
2016,6,COWBOY CARTER,BEYONCE,12,1,3,0
2016,7,PAPERCUTS - SINGLES COLLECTION 2000-2023,LINKIN PARK,101,7,1,0
2016,8,DON'T FORGET ME,MAGGIE ROGERS,101,8,1,0
2016,9,SILENCE IS LOUD,NIA ARCHIVES,101,9,1,0
2016,10,LIFEBLOOD,MANIC STREET PREACHERS,101,10,1,0
2016,11,I'M DOING IT AGAIN BABY,GIRL IN RED,101,11,1,0
2016,12,DID YOU KNOW THAT THERE'S A TUNNEL UNDER,LANA DEL REY,94,1,56,0
2016,13,SAN VITO,FEELING,101,13,1,0
2016,14,TO THE LIMIT - THE ESSENTIAL COLLECTION,EAGLES,101,14,1,0
2016,15,BACK TO BLACK,AMY WINEHOUSE,21,4,478,0
2016,16,ALL QUIET ON THE EASTERN ESPLANADE,LIBERTINES,1,1,2,0
2016,17,LOVE IS ALL AROUND,ANDRE RIEU & JOHANN STRAUSS OR,101,17,1,0
2016,18,OUR BRAND COULD BE YR LIFE,BODEGA,101,18,1,0
2016,19,1989 (TAYLOR'S VERSION),TAYLOR SWIFT,16,1,25,0
2016,20,STICK SEASON,NOAH KAHAN,57,2,29,0
2016,21,FIREWORKS & ROLLERBLADES,BENSON BOONE,40,21,2,0
2016,22,THIS LIFE,TAKE THAT,31,1,21,0
2016,23,HACKNEY DIAMONDS,ROLLING STONES,20,1,26,0
2016,24,FIRES,NERINA PALLOT,101,24,1,0
2016,25,I'VE TRIED EVERYTHING BUT THERAPY - PT 1,TEDDY SWIMS,23,4,20,0
2016,26,ONLY GOD WAS ABOVE US,VAMPIRE WEEKEND,5,5,2,0
2016,27,I WONDER IF THE WORLD KNOWS,K'S,2,2,2,0
2016,28,SWING FEVER,ROD STEWART & JOOLS HOLLAND,17,1,8,0
2016,29,LIAM GALLAGHER & JOHN SQUIRE,LIAM GALLAGHER & JOHN SQUIRE,34,1,7,0
2016,30,SKYDANCERS,MARTIN SIMPSON,101,30,1,0
2016,31,MY 21ST CENTURY BLUES,RAYE,19,2,34,0
2016,32,OHIO PLAYERS,BLACK KEYS,6,6,2,0
2016,33,AUDIO VERTIGO,ELBOW,18,1,4,0
2016,34,LEGEND,BOB MARLEY & THE WAILERS,24,4,478,0
2016,35,A LA SALA,KHRUANGBIN,8,8,2,0
2016,36,RUMOURS,FLEETWOOD MAC,35,3,470,0
2016,37,PERCEIVE ITS BEAUTY ACKNOWLEDGE ITS,SHABAKA,101,37,1,0
2016,38,THE DARK SIDE OF THE MOON,PINK FLOYD,39,7,454,0
2016,39,GOLD - GREATEST HITS,ABBA,30,5,478,0
2016,40,LOVER,TAYLOR SWIFT,37,1,198,0
2016,41,MIDNIGHTS,TAYLOR SWIFT,36,1,78,0
2016,42,THE WORLD EP FIN - WILL,ATEEZ,26,2,20,0
2016,43,GUTS,OLIVIA RODRIGO,22,1,32,0
2016,44,ETERNAL SUNSHINE,ARIANA GRANDE,25,2,6,0
2016,45,BLACK/RED,FEEDER,4,4,2,0
2016,46,FOUND HEAVEN,CONAN GRAY,3,3,2,0
2016,47,FOLKLORE,TAYLOR SWIFT,41,2,195,0
2016,48,PRELUDE TO ECSTASY,LAST DINNER PARTY,42,1,11,0
2016,49,GHOSTBUSTERS - FROZEN EMPIRE - OST,DARIO MARIANELLI,101,49,1,0
2016,50,THE SINGLES 1992-2003,NO DOUBT,101,50,1,0
2016,51,NEVERMIND,NIRVANA,52,14,393,0
2016,52,STORIES FROM TIME AND SPACE,HAWKWIND,9,9,2,0
2016,53,BORN TO DIE,LANA DEL REY,49,16,288,0
2016,54,LOVE IN CONSTANT SPECTACLE,JANE WEAVER,13,13,2,0
2016,55,ABOMINATION,LYNKS,101,55,1,0
