date,rank,lw,artist,label,total,change,albums,tea,sea
1/27/2015,"<td class=""hits_album_chart_lw_full_top"">1</td>","<td class=""hits_album_chart_tw_full_top"">
--</td>","<span class=""hits_album_chart_item_top_full_details_artist"">FALL OUT BOY</span>","<td class=""hits_album_chart_item_top_details_full_label"">DCD2/ISLAND</td>","<td class=""hits_album_chart_item_top_details_full_sales"">227,348</td>","<td class=""hits_album_chart_item_top_details_full_change"">--</td>",,,
1/27/2015,"<td class=""hits_album_chart_lw_full_top"">2</td>","<td class=""hits_album_chart_tw_full_top"">
--</td>","<span class=""hits_album_chart_item_top_full_details_artist"">TAYLOR SWIFT</span>","<td class=""hits_album_chart_item_top_details_full_label"">BIG MACHINE</td>","<td class=""hits_album_chart_item_top_details_full_sales"">116,891</td>","<td class=""hits_album_chart_item_top_details_full_change"">-12%</td>",,,
1/27/2015,"<td class=""hits_album_chart_lw_full_top"">3</td>","<td class=""hits_album_chart_tw_full_top"">
1</td>","<span class=""hits_album_chart_item_top_full_details_artist"">MEGHAN TRAINOR</span>","<td class=""hits_album_chart_item_top_details_full_label"">EPIC</td>","<td class=""hits_album_chart_item_top_details_full_sales"">85,619</td>","<td class=""hits_album_chart_item_top_details_full_change"">-64%</td>",,,
1/27/2015,"<td class=""hits_album_chart_lw_full_top"">4</td>","<td class=""hits_album_chart_tw_full_top"">
--</td>","<span class=""hits_album_chart_item_top_full_details_artist"">JOEY BADA$$</span>","<td class=""hits_album_chart_item_top_details_full_label"">CINEMATIC</td>","<td class=""hits_album_chart_item_top_details_full_sales"">54,956</td>","<td class=""hits_album_chart_item_top_details_full_change"">--</td>",,,
1/27/2015,"<td class=""hits_album_chart_lw_full_top"">5</td>","<td class=""hits_album_chart_tw_full_top"">
6</td>","<span class=""hits_album_chart_item_top_full_details_artist"">NICKI MINAJ</span>","<td class=""hits_album_chart_item_top_details_full_label"">YMCMB/REPUBLIC</td>","<td class=""hits_album_chart_item_top_details_full_sales"">51,241</td>","<td class=""hits_album_chart_item_top_details_full_change"">-9%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">6</td>","<td class=""hits_album_chart_full_tw"">
3</td>","<span class=""hits_album_chart_item_details_full_artist"">MARK RONSON</span>","<td class=""hits_album_chart_item_top_details_full_label"">RCA</td>","<td class=""hits_album_chart_item_top_details_full_sales"">49,894</td>","<td class=""hits_album_chart_item_top_details_full_change"">-33%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">7</td>","<td class=""hits_album_chart_full_tw"">
4</td>","<span class=""hits_album_chart_item_details_full_artist"">ED SHEERAN</span>","<td class=""hits_album_chart_item_top_details_full_label"">ATLANTIC</td>","<td class=""hits_album_chart_item_top_details_full_sales"">46,891</td>","<td class=""hits_album_chart_item_top_details_full_change"">-36%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">8</td>","<td class=""hits_album_chart_full_tw"">
--</td>","<span class=""hits_album_chart_item_details_full_artist"">MARILYN MANSON</span>","<td class=""hits_album_chart_item_top_details_full_label"">LOMA VISTA/CONCORD</td>","<td class=""hits_album_chart_item_top_details_full_sales"">46,805</td>","<td class=""hits_album_chart_item_top_details_full_change"">--</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">9</td>","<td class=""hits_album_chart_full_tw"">
--</td>","<span class=""hits_album_chart_item_details_full_artist"">2015 GRAMMY NOMINEES</span>","<td class=""hits_album_chart_item_top_details_full_label"">RCA</td>","<td class=""hits_album_chart_item_top_details_full_sales"">46,365</td>","<td class=""hits_album_chart_item_top_details_full_change"">--</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">10</td>","<td class=""hits_album_chart_full_tw"">
7</td>","<span class=""hits_album_chart_item_details_full_artist"">SAM SMITH</span>","<td class=""hits_album_chart_item_top_details_full_label"">CAPITOL</td>","<td class=""hits_album_chart_item_top_details_full_sales"">45,718</td>","<td class=""hits_album_chart_item_top_details_full_change"">-10%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">11</td>","<td class=""hits_album_chart_full_tw"">
--</td>","<span class=""hits_album_chart_item_details_full_artist"">DECEMBERISTS</span>","<td class=""hits_album_chart_item_top_details_full_label"">CAPITOL</td>","<td class=""hits_album_chart_item_top_details_full_sales"">44,800</td>","<td class=""hits_album_chart_item_top_details_full_change"">--</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">12</td>","<td class=""hits_album_chart_full_tw"">
5</td>","<span class=""hits_album_chart_item_details_full_artist"">KIDZ BOP KIDS</span>","<td class=""hits_album_chart_item_top_details_full_label"">RAZOR &amp; TIE</td>","<td class=""hits_album_chart_item_top_details_full_sales"">43,673</td>","<td class=""hits_album_chart_item_top_details_full_change"">--</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">13</td>","<td class=""hits_album_chart_full_tw"">
8</td>","<span class=""hits_album_chart_item_details_full_artist"">MAROON 5</span>","<td class=""hits_album_chart_item_top_details_full_label"">222/INTERSCOPE</td>","<td class=""hits_album_chart_item_top_details_full_sales"">43,600</td>","<td class=""hits_album_chart_item_top_details_full_change"">-12%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">14</td>","<td class=""hits_album_chart_full_tw"">
9</td>","<span class=""hits_album_chart_item_details_full_artist"">HOZIER</span>","<td class=""hits_album_chart_item_top_details_full_label"">COLUMBIA</td>","<td class=""hits_album_chart_item_top_details_full_sales"">37,555</td>","<td class=""hits_album_chart_item_top_details_full_change"">-6%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">15</td>","<td class=""hits_album_chart_full_tw"">
--</td>","<span class=""hits_album_chart_item_details_full_artist"">LUPE FIASCO</span>","<td class=""hits_album_chart_item_top_details_full_label"">ATLANTIC</td>","<td class=""hits_album_chart_item_top_details_full_sales"">36,000</td>","<td class=""hits_album_chart_item_top_details_full_change"">--</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">16</td>","<td class=""hits_album_chart_full_tw"">
10</td>","<span class=""hits_album_chart_item_details_full_artist"">J. COLE</span>","<td class=""hits_album_chart_item_top_details_full_label"">ROC NATION/COLUMBIA</td>","<td class=""hits_album_chart_item_top_details_full_sales"">32,058</td>","<td class=""hits_album_chart_item_top_details_full_change"">-12%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">17</td>","<td class=""hits_album_chart_full_tw"">
15</td>","<span class=""hits_album_chart_item_details_full_artist"">SAM HUNT</span>","<td class=""hits_album_chart_item_top_details_full_label"">MCA NASHVILLE</td>","<td class=""hits_album_chart_item_top_details_full_sales"">24,306</td>","<td class=""hits_album_chart_item_top_details_full_change"">0%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">18</td>","<td class=""hits_album_chart_full_tw"">
14</td>","<span class=""hits_album_chart_item_details_full_artist"">ONE DIRECTION</span>","<td class=""hits_album_chart_item_top_details_full_label"">SYCO/COLUMBIA</td>","<td class=""hits_album_chart_item_top_details_full_sales"">24,293</td>","<td class=""hits_album_chart_item_top_details_full_change"">-1%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">19</td>","<td class=""hits_album_chart_full_tw"">
13</td>","<span class=""hits_album_chart_item_details_full_artist"">GUARDIANS OF THE GALAXY: AWESOME MIX, VOL. 1</span>","<td class=""hits_album_chart_item_top_details_full_label"">HOLLYWOOD</td>","<td class=""hits_album_chart_item_top_details_full_sales"">23,163</td>","<td class=""hits_album_chart_item_top_details_full_change"">-9%</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">20</td>","<td class=""hits_album_chart_full_tw"">
--</td>","<span class=""hits_album_chart_item_details_full_artist"">BJORK</span>","<td class=""hits_album_chart_item_top_details_full_label"">ONE LITTLE INDIAN</td>","<td class=""hits_album_chart_item_top_details_full_sales"">23,000</td>","<td class=""hits_album_chart_item_top_details_full_change"">--</td>",,,
1/27/2015,"<td class=""hits_album_chart_full_lw"">21</td>","<td class=""hits_album_chart_full_tw"">
--</td>","<span class=""hits_album_chart_item_details_full_artist"">SLEATER-KINNEY</span>","<td class=""hits_album_chart_item_top_details_full_label"">SUB POP</td>","<td class=""hits_album_chart_item_top_details_full_sales"">21,575</td>","<td class=""hits_album_chart_item_top_details_full_change"">--</td>",,,
